State,Postings
Washington,422
California,335
Texas,290
Maryland,158
Illinois,136
Florida,125
Virginia,125
Massachusetts,102
North Carolina,102
New York,94
Ohio,80
Pennsylvania,80
New Jersey,77
Colorado,70
Tennessee,53
Arizona,51
Utah,51
Georgia,49
Missouri,49
Minnesota,43
Michigan,42
Alabama,27
Wisconsin,23
Indiana,22
Oregon,22
Nebraska,20
Nevada,20
Kansas,18
Delaware,17
South Carolina,17
Connecticut,14
Oklahoma,14
Iowa,11
Louisiana,10
New Mexico,10
Rhode Island,10
Hawaii,9
Maine,9
Arkansas,8
West Virginia,7
Mississippi,6
New Hampshire,6
Idaho,5
Kentucky,5
Montana,5
North Dakota,4
Wyoming,4
Vermont,2
Alaska,1
South Dakota,1
